110842,156433,f,1,657,456,2013-12-08 00:07:43
110843,156433,f,1,2771,456,2013-12-08 00:19:28
110844,14329,g,1,1353,2719,2013-12-08 00:25:01
110845,156440,f,1,1353,1470,2013-12-08 00:26:30
110846,14329,g,1,1914,2719,2013-12-08 00:30:12
110848,156429,f,-1,779,13,2013-12-08 00:36:04
110849,156436,f,1,2511,965,2013-12-08 00:36:06
110851,156444,f,1,2544,1206,2013-12-08 01:05:07
110852,156443,f,1,846,779,2013-12-08 01:11:48
110854,156443,f,1,57,779,2013-12-08 01:18:06
110855,156433,f,1,2685,456,2013-12-08 01:26:38
110856,14329,g,1,2504,2719,2013-12-08 01:30:35
110857,156445,f,1,484,57,2013-12-08 01:35:56
110858,156433,f,1,484,456,2013-12-08 01:36:18
110859,156435,f,-1,484,657,2013-12-08 01:36:25
110860,156433,f,1,11,456,2013-12-08 01:45:57
110861,156445,f,1,2582,57,2013-12-08 01:48:06
110862,156444,f,1,2582,1206,2013-12-08 01:48:18
110863,156443,f,1,2582,779,2013-12-08 01:48:34
110865,156433,f,1,1914,456,2013-12-08 01:53:11
110866,156448,f,1,2573,11,2013-12-08 01:54:52
110867,156429,f,-1,1036,13,2013-12-08 02:27:04
110868,156445,f,1,1036,57,2013-12-08 02:29:15
110869,14329,g,-1,2679,2719,2013-12-08 02:30:16
110870,156448,f,1,2582,11,2013-12-08 02:56:00
110871,156448,f,1,2504,11,2013-12-08 03:08:41
110872,156445,f,1,2504,57,2013-12-08 03:08:56
110873,156436,f,1,2504,965,2013-12-08 03:09:46
110874,156431,f,-1,2504,2511,2013-12-08 03:10:01
110875,156445,f,1,49,57,2013-12-08 03:11:59
110876,156433,f,-1,2504,456,2013-12-08 03:13:36
110877,156435,f,1,2504,657,2013-12-08 03:13:40
110878,14287,g,1,2504,2771,2013-12-08 03:15:35
110879,14283,g,1,2504,2771,2013-12-08 03:15:41
110880,14285,g,1,2504,2771,2013-12-08 03:15:48
110881,27686,c,1,2504,1,2013-12-08 03:27:11
110882,27688,c,1,2504,1,2013-12-08 03:27:39
110883,14329,g,1,884,2719,2013-12-08 03:29:25
110884,14327,g,1,2505,1,2013-12-08 03:59:00
110885,28268,c,1,2505,425,2013-12-08 03:59:29
110886,28270,c,1,2505,1,2013-12-08 03:59:46
110887,155975,f,1,2504,682,2013-12-08 04:33:11
110888,156436,f,1,290,965,2013-12-08 07:24:43
110889,156440,f,1,290,1470,2013-12-08 07:24:51
110890,156444,f,-1,389,1206,2013-12-08 09:02:15
110892,28275,c,1,2719,2137,2013-12-08 09:12:18
110893,28277,c,1,2719,2693,2013-12-08 09:12:20
110894,156438,f,-1,655,1501,2013-12-08 09:20:01
110895,156448,f,-1,655,11,2013-12-08 09:22:03
110896,156445,f,1,779,57,2013-12-08 09:43:29
110897,156448,f,1,779,11,2013-12-08 09:45:20
110898,156444,f,1,779,1206,2013-12-08 09:48:51
110899,156442,f,1,290,13,2013-12-08 09:54:24
110900,156440,f,-1,674,1470,2013-12-08 09:56:16
110901,156442,f,-1,674,13,2013-12-08 09:56:17
110902,156429,f,-1,674,13,2013-12-08 09:56:48
110903,14329,g,1,2361,2719,2013-12-08 10:07:42
110904,28280,c,1,2719,2361,2013-12-08 10:18:36
110905,156445,f,1,2497,57,2013-12-08 10:24:45
110906,156454,f,-1,2361,1794,2013-12-08 10:33:17
110907,156352,f,-1,2361,2475,2013-12-08 10:33:31
110908,14331,g,1,779,884,2013-12-08 10:34:28
110909,156348,f,1,2361,2679,2013-12-08 10:34:29
110911,156454,f,1,2720,1794,2013-12-08 10:49:48
110912,156291,f,1,2720,290,2013-12-08 10:51:01
110913,156448,f,1,2720,11,2013-12-08 10:52:08
110914,156452,f,1,2720,2361,2013-12-08 10:52:37
110915,156458,f,1,184,682,2013-12-08 10:57:08
110916,156454,f,1,682,1794,2013-12-08 11:03:28
110920,156458,f,1,674,682,2013-12-08 11:18:19
110921,156447,f,1,456,484,2013-12-08 11:19:15
110922,156453,f,1,456,674,2013-12-08 11:19:25
110923,28281,c,1,2719,13,2013-12-08 11:32:40
110924,28282,c,1,2719,2361,2013-12-08 11:32:41
110925,156433,f,-1,1083,456,2013-12-08 11:38:56
110926,156449,f,1,1083,657,2013-12-08 11:39:03
110927,156459,f,1,682,674,2013-12-08 11:39:40
110930,156453,f,1,2438,674,2013-12-08 11:47:43
110931,156445,f,1,2438,57,2013-12-08 11:50:58
110932,153627,f,1,2438,456,2013-12-08 11:51:27
110933,156182,f,1,333,290,2013-12-08 12:09:31
110934,156428,f,-1,389,366,2013-12-08 12:14:59
110935,156461,f,-1,389,682,2013-12-08 12:15:07
110936,14329,g,1,2426,2719,2013-12-08 12:16:08
110937,156453,f,1,2751,674,2013-12-08 12:16:16
110938,28282,c,1,2426,2361,2013-12-08 12:16:38
110939,156456,f,1,425,13,2013-12-08 12:34:48
110940,156461,f,1,425,682,2013-12-08 12:37:27
110942,156453,f,1,2573,674,2013-12-08 12:46:35
110943,156456,f,1,1560,13,2013-12-08 12:53:23
110944,28280,c,1,2488,2361,2013-12-08 12:55:14
110945,156433,f,-1,674,456,2013-12-08 12:57:31
110946,156462,f,-1,674,456,2013-12-08 12:57:42
110947,156443,f,1,414,779,2013-12-08 12:57:59
110948,156467,f,1,425,389,2013-12-08 12:58:41
110949,154037,f,-1,57,1206,2013-12-08 13:09:07
110950,154045,f,1,57,484,2013-12-08 13:09:38
110951,156472,f,1,2361,1311,2013-12-08 13:10:11
110952,156456,f,-1,655,13,2013-12-08 13:16:21
110953,156462,f,-1,655,456,2013-12-08 13:18:13
110954,156473,f,-1,425,389,2013-12-08 13:26:11
110955,156475,f,-1,2646,456,2013-12-08 13:30:38
110956,156454,f,-1,2646,1794,2013-12-08 13:31:18
110957,153627,f,-1,2646,456,2013-12-08 13:31:43
110958,156452,f,1,2646,2361,2013-12-08 13:32:01
110959,28283,c,1,2719,997,2013-12-08 13:39:05
110960,156473,f,1,1002,389,2013-12-08 13:47:55
110961,156435,f,1,884,657,2013-12-08 13:51:49
110962,156453,f,1,1358,674,2013-12-08 13:53:24
110963,156459,f,1,1358,674,2013-12-08 13:54:05
110964,156473,f,1,657,389,2013-12-08 13:54:35
110965,156476,f,1,2573,1002,2013-12-08 13:54:44
110967,156461,f,1,1358,682,2013-12-08 13:54:46
110968,156433,f,-1,1358,456,2013-12-08 13:55:00
110969,156476,f,1,1889,1002,2013-12-08 13:55:06
110970,156468,f,1,1358,674,2013-12-08 13:56:22
110971,156475,f,-1,1358,456,2013-12-08 13:57:20
110972,156341,f,1,884,2681,2013-12-08 13:58:32
110973,156467,f,1,366,389,2013-12-08 14:01:03
110974,156479,f,1,366,965,2013-12-08 14:01:18
110975,156446,f,1,2720,2573,2013-12-08 14:03:19
110976,156472,f,1,290,1311,2013-12-08 14:05:55
110977,156433,f,1,7,456,2013-12-08 14:09:55
110981,156457,f,-1,484,13,2013-12-08 14:13:48
110982,156460,f,1,484,456,2013-12-08 14:13:59
110983,156461,f,-1,484,682,2013-12-08 14:14:12
110984,156462,f,1,484,456,2013-12-08 14:14:19
110985,156475,f,1,484,456,2013-12-08 14:14:44
110986,156477,f,1,674,290,2013-12-08 14:15:24
110987,14329,g,-1,1487,2719,2013-12-08 14:15:35
110988,156456,f,-1,484,13,2013-12-08 14:16:03
110990,5876,g,1,290,884,2013-12-08 14:16:13
110989,156473,f,1,484,389,2013-12-08 14:16:13
110991,156476,f,1,484,1002,2013-12-08 14:16:21
110992,156467,f,1,674,389,2013-12-08 14:16:43
110993,156481,f,1,484,1487,2013-12-08 14:16:52
110995,156477,f,1,389,290,2013-12-08 14:19:40
110996,156454,f,-1,290,1794,2013-12-08 14:20:56
110997,156475,f,-1,2679,456,2013-12-08 14:23:59
110998,156478,f,1,2679,657,2013-12-08 14:24:06
110999,156364,f,1,290,2370,2013-12-08 14:24:36
111000,156352,f,1,290,2475,2013-12-08 14:24:48
111001,156433,f,1,389,456,2013-12-08 14:25:45
111002,156435,f,-1,389,657,2013-12-08 14:25:50
111004,156478,f,-1,389,657,2013-12-08 14:27:59
